price,date,media_movel_7d,media_movel_30d,bitcoin_return,Price_M
115567.65641109124,2025-09-13 18:02:54.699,115769.60684073236,115847.62326450546,0.0019493395080607,0.12
115688.73490201971,2025-09-13 19:02:05.801,115722.1879542076,115864.72290710224,0.0010476849205782,0.12
115837.62867738264,2025-09-13 20:01:54.246,115690.30145507144,115886.55602543356,0.001287020516639,0.12
115975.60665830794,2025-09-13 21:02:37.176,115719.91366518964,115909.54870356612,0.0011911326440354,0.12
115902.80087265448,2025-09-13 22:03:07.780,115728.4783318848,115934.8782022425,-0.0006277680949577,0.12
115914.67697398618,2025-09-13 23:02:14.659,115747.13122886069,115948.6496657074,0.0001024660426001,0.12
115974.8873939637,2025-09-14 00:01:52.178,115837.42741277227,115952.12779976128,0.0005194374133572,0.12
115972.63064708588,2025-09-14 01:03:41.245,115895.28087505724,115934.94447361586,-1.945892708776764e-05,0.12
116020.9422564432,2025-09-14 02:02:45.664,115942.7390685463,115912.15205330664,0.0004165776794726,0.12
115908.55482647114,2025-09-14 03:00:01.850,115952.87137555893,115902.23261163427,-0.000968682272237,0.12
115771.51295218768,2025-09-14 04:02:34.025,115923.71513182748,115896.23921106989,-0.0011823275209378,0.12
115806.95820776703,2025-09-14 05:01:42.725,115910.02332255784,115886.63827323398,0.0003061656073719,0.12
115931.29222477932,2025-09-14 06:02:23.630,115912.396929814,115879.00989919514,0.0010736316620043,0.12
115782.5467124972,2025-09-14 07:02:27.439,115884.9196896045,115861.76459824372,-0.0012830488596099,0.12
115800.96862956286,2025-09-14 08:02:56.063,115860.39654424404,115861.20396548748,0.0001591078931042,0.12
115974.03122043426,2025-09-14 09:02:53.749,115853.69496767136,115862.6813153458,0.0014944831025118,0.12
116143.86978301247,2025-09-14 10:02:48.483,115887.3113900344,115867.90592262926,0.0014644533848737,0.12
116069.58488194742,2025-09-14 11:02:41.958,115929.8930942858,115878.1912123138,-0.0006395938175974,0.12
115882.85033622768,2025-09-14 12:02:43.745,115940.73482692304,115882.80776103828,-0.0016088154869311,0.12
115816.94199120872,2025-09-14 13:02:44.371,115924.3990792701,115883.68809319731,-0.000568749774688,0.12
